,background,source,skills,background FR,source FR,tools,languages,equipement text,description,tools FR,languages FR,equipement text FR,description FR
84,Selesnya Initiate,Conclave’s Shelter ,"[' Nature', 'Persuasion']",Initiation à Selesnya,Refuge du Conclave,One type of artisan's tools or one musical instrument,"Choose one of Elvish, Loxodon, or Sylvan","A Selesnya insignia, a Healer's Kit, robes, a set of Common Clothes, and a belt pouch containing 5 gp (Azorius 1-zino coins)","
Like a thriving garden, carefully tended and abundantly fertile, the communities of the Selesnya Conclave are a harmonious union of nature and civilization. The members of the conclave dream of embracing all of Ravnica in their peaceful union. In the meantime, they are growing an army, preparing to resist the ambition and destructive impulses of the other guilds and fight to defend their way of life.
At the heart of the Selesnya faith and philosophy is the Worldsoul, called Mat'Selesnya, which its devotees believe to be amanifestation of nature itself. At the signing of the original Guildpact, Mat'Selesnya was embodied in an elemental form and acted as the guild's first guild master. The current guildmaster, Trostani — three dryads fused together with Mat'Selesnya into a single being — is said to embody the will of the Worldsoul in a similar way. The original mission of the conclave involved conservation and charity, but its focus has long been on expanding its community, in which all members are cared for and nature is preserved in harmony with civilization.
Alignment: Usually good, often neutral
Suggested Races: Human, Centaur, Elf (Wood), Half-Elf, Loxodon
Suggested Classes: Bard, Cleric, Druid, Fighter, Monk, Paladin, Ranger, Warlock
You might enjoy playing a Selesnya Conclave character if one or more of the following statements are true:

You like the idea of being part of a huge, peaceful community.
You like playing druids, rangers, or spiritual monks.
You believe in victory through respectful teamwork, overwhelming numbers, or both.
You want a spiritual connection to something bigger than just your character.

Overview
You are a member of a blessed community, built on the ideals of harmony. Here, nature and civilization coexist peacefully, living and growing in accordance with the will of the Worldsoul, Mat'Selesnya. As a member of the Selesnya Conclave, you are surrounded by people and other creatures who share your worldview and your longing for deeper spiritual communion with the world, and you have a fervent desire to share the joy you have experienced with Ravnica. Along with the rest of the conclave, you are committed to resisting the ambitions of the other guilds — with military force if necessary.
",Un type d'outils d'artisan ou un instrument de musique,"Choisissez entre Elfique, Loxodon ou Sylvain","Un insigne de Selesnya, un kit de guérisseur, des robes, un ensemble de vêtements communs et une pochette de ceinture contenant 5 po (pièces Azorius de 1 zino)","Tel un jardin florissant, soigneusement entretenu et abondamment fertile, les communautés du Conclave de Selesnya sont une union harmonieuse de nature et de civilisation. Les membres du conclave rêvent d'embrasser tout Ravnica dans leur union pacifique. En attendant, ils développent une armée, se préparant à résister à l'ambition et aux pulsions destructrices des autres guildes et à se battre pour défendre leur mode de vie. 
Au cœur de la foi et de la philosophie de Selesnya se trouve l'Âme du Monde, appelée Mat'Selesnya, que ses fidèles croient être une manifestation de la nature elle-même. Lors de la signature du Pacte des Guildes original, Mat'Selesnya s'est incarnée sous une forme élémentaire et a agi en tant que premier maître de guilde de la guilde. Le maître de guilde actuel, Trostani (trois dryades fusionnées avec Mat'Selesnya en un seul être) est censé incarner la volonté de l'Âme du Monde de la même manière. La mission originale du conclave impliquait la conservation et la charité, mais son objectif est depuis longtemps d'élargir sa communauté, dans laquelle tous les membres sont pris en charge et la nature est préservée en harmonie avec la civilisation.
Alignement : Généralement bon, souvent neutre
Races suggérées : Humain, Centaure, Elfe (Bois), Demi-Elfe, Loxodon
Classes suggérées : Barde, Clerc, Druide, Combattant, Moine, Paladin, Rôdeur, Démoniste
Vous aimerez peut-être jouer un personnage du Conclave de Selesnya si une ou plusieurs des affirmations suivantes sont vraies :

Vous aimez l'idée de faire partie d'une communauté immense et paisible.
Vous aimez jouer des druides, des rôdeurs ou des moines spirituels.
Vous croyez en la victoire grâce au travail d'équipe respectueux, à un nombre écrasant, ou aux deux.
Vous voulez une connexion spirituelle avec quelque chose de plus grand que votre personnage.

Présentation
Vous êtes membre d'une communauté bénie, construite sur les idéaux d'harmonie. Ici, la nature et la civilisation cohabitent pacifiquement, vivant et grandissant selon la volonté de l'Âme du monde, Mat'Selesnya. En tant que membre du Conclave de Selesnya, vous êtes entouré de personnes et d'autres créatures qui partagent votre vision du monde et votre désir d'une communion spirituelle plus profonde avec le monde, et vous avez un désir ardent de partager la joie que vous avez éprouvée avec Ravnica. Avec le reste du conclave, vous vous engagez à résister aux ambitions des autres guildes, par la force militaire si nécessaire."
85,Shipwright,I’ll Patch It! ,"[' History', 'Perception']",Charpentier,Je vais le réparer !,"Carpenter's tools, vehicles (water)",Two of your choice,"A set of well-loved Carpenter's Tools, a blank book, 1 ounce of Ink, an Ink Pen, a set of Traveler's Clothes, and a leather pouch with 10 gp","
You have sailed into war on the decks of great ships, patching their hulls with soup bowls and prayers. You once helped build a fishing vessel that single-handedly saved a town from starvation. You have seen a majestic prow in your dreams that you have not been able to replicate in wood. Since childhood, you have loved the water and have been captivated by the many vessels that travel on it.
","Outils de charpentier, véhicules (eau)",Deux de votre choix,"Un ensemble d'outils de charpentier très appréciés, un livre vierge, 1 once d'encre, un stylo à encre, un ensemble de vêtements de voyageur et une pochette en cuir avec 10 po","Vous avez navigué sur le pont de grands navires, en rapiéçant leurs coques avec des bols de soupe et des prières. Vous avez un jour contribué à la construction d'un bateau de pêche qui a sauvé à lui seul une ville de la famine. Vous avez vu dans vos rêves une proue majestueuse que vous n'avez pas pu reproduire en bois. Depuis votre enfance, vous aimez l'eau et vous êtes fasciné par les nombreux navires qui la parcourent."
86,Silverquill Student,Silverquill Initiate ,"[' Intimidation', 'Persuasion']",Étudiant de Silverquill,Initié Silverquill,,Two of your choice,"A bottle of Black Ink, an Ink Pen, a book of poetry, a school uniform, and a pouch containing 15 gp","
You have spent years practicing your writing and oration in the hope of becoming a student of Silverquill College. Your studies focus on language, literature, and the power of words, both magical and otherwise. The metaphorical power of words to illuminate or conceal is joined with the literal ability of magic to do the same in your academic pursuits.
",,Deux de votre choix,"Une bouteille d'encre noire, un stylo à encre, un livre de poésie, un uniforme scolaire et une pochette contenant 15 po","Vous avez passé des années à pratiquer votre écriture et votre art oratoire dans l'espoir de devenir étudiant au Silverquill College. Vos études se concentrent sur la langue, la littérature et le pouvoir des mots, qu'ils soient magiques ou non. Le pouvoir métaphorique des mots pour éclairer ou dissimuler s'associe à la capacité littérale de la magie à faire de même dans vos activités académiques."
87,Simic Scientist,Researcher ,"[' Arcana', 'Medicine']",Scientifique Simic,Chercheur,None,Two of your choice,"A Simic insignia, a set of Commoner's Clothes, a book of research notes, an Ink Pen, a bottle of squid ink, a flask of oil (made from blubber), a Vial of Acid (derived from digestive juices), a vial of fish scales, a vial of seaweed, a vial of jellyfish stingers, a glass bottle of unidentified slime, and a belt pouch containing 10 gp (Azorius 1-zino coins)","
The secrets of life are revealed in the laboratories of the Simic, and their research notes plumb and catalog nature's wonders. Their original mission was to oversee issues of public health, but the Simic came to believe that complete health — of individuals and of society as a whole — depends on the mutual adaptation of nature and civilization to one another. Thus, biological experimentation has always been among its primary concerns.
Historically, the guild's approach to its mission has been one of incremental progress toward a utopian ideal of thriving biology, and it remains more aloof from politics than other guilds. Its fundamental mission remains unchanged by the current political instability, and the isolation of its laboratories protects most Simic guild members from immediate harm.
Little is known about the combine's founder, except that this individual's first or family name was Simic.
Alignment: Usually neutral
Suggested Races: Human, Elf (High), Simic Hybrid, Vedalken
Suggested Classes: Fighter, Monk, Wizard
You might enjoy playing a character who belongs to the Simic Combine if one or more of the following statements are true:

You are drawn to the image of the mad scientist tinkering with the fundamental forces of life.
You like playing curious wizards, druids, or mutants.
Prying into secrets and mysteries inspires your curiosity.
You want to make the world a better place through research.

Overview
Imagine a perfect world: one in which nature and civilization exist in harmony, adapted to each other; one in which life is shaped to match its environment and the environment is shaped to match life. That's the world you have been trying to grow in the laboratories of the Simic Combine. Nature is all about adaptation, evolution, and balance — but for it to keep up with the pace of advancing civilization, nature needs some help from biomancers and terraformers. If, along the way, you happen to create super-soldiers and mutant monsters that can bolster the combine's defenses against the schemes and ambitions of the other guilds, so much the better.
",Aucun,Deux de votre choix,"Un insigne Simic, un ensemble de vêtements de roturier, un livre de notes de recherche, un stylo à encre, une bouteille d'encre de calmar, une fiole d'huile (fabriquée à partir de graisse), une fiole d'acide (dérivé de sucs digestifs), une fiole d'écailles de poisson, une fiole d'algues, une fiole de dards de méduses, une bouteille en verre de bave non identifiée et une pochette de ceinture contenant 10 po (pièces Azorius 1-zino)","Les secrets de la vie sont révélés dans les laboratoires des Simic, et leurs notes de recherche sondent et répertorient les merveilles de la nature. Leur mission initiale était de superviser les questions de santé publique, mais les Simic en sont venus à croire que la santé complète – des individus et de la société dans son ensemble – dépend de l’adaptation mutuelle de la nature et de la civilisation l’une à l’autre. Ainsi, l’expérimentation biologique a toujours été l’une de ses principales préoccupations. 
Historiquement, l’approche de la guilde envers sa mission a été celle d’un progrès progressif vers un idéal utopique de biologie florissante, et elle reste plus éloignée de la politique que les autres guildes. Sa mission fondamentale reste inchangée en raison de l’instabilité politique actuelle, et l’isolement de ses laboratoires protège la plupart des membres de la guilde Simic de tout danger immédiat. 
On sait peu de choses sur le fondateur de la guilde, si ce n’est que le prénom ou le nom de famille de cet individu était Simic. 
Alignement : Généralement neutre
Races suggérées : Humain, Elfe (Haut), Hybride Simic, Vedalken
Classes suggérées : Combattant, Moine, Sorcier
Vous aimerez peut-être jouer un personnage appartenant au Simic Combine si une ou plusieurs des affirmations suivantes sont vraies :

Vous êtes attiré par l'image du savant fou qui bricole avec les forces fondamentales de la vie.
Vous aimez jouer les sorciers, les druides ou les mutants curieux.
Fouiner dans les secrets et les mystères inspire votre curiosité.
Vous voulez rendre le monde meilleur grâce à la recherche.

Présentation
Imaginez un monde parfait : un monde dans lequel la nature et la civilisation existent en harmonie, adaptées l'une à l'autre ; un monde dans lequel la vie est façonnée pour correspondre à son environnement et l'environnement est façonné pour correspondre à la vie. C'est le monde que vous avez essayé de faire grandir dans les laboratoires du Simic Combine. La nature est une question d'adaptation, d'évolution et d'équilibre, mais pour qu'elle puisse suivre le rythme de l'avancée de la civilisation, la nature a besoin de l'aide des biomanciens et des terraformeurs. Si, en chemin, vous parvenez à créer des super-soldats et des monstres mutants capables de renforcer les défenses de la guilde contre les plans et les ambitions des autres guildes, tant mieux."
88,Smuggler,Down Low ,"[' Athletics', 'Deception']",Contrebandier,"En bas, tout bas",Vehicles (water),None,"A fancy leather vest or a pair of leather boots, a set of Common Clothes, and a leather pouch with 15 gp","
On a rickety barge, you carried a hundred longswords in fish barrels right past the dock master's oblivious lackeys. You have paddled a riverboat filled with stolen elven wine under the gaze of the moon and sold it for twice its value in the morning. In your more charitable times, you have transported innocents out of war zones or helped guide herd animals to safety on the banks of a burning river.
",Véhicules (eau),Aucun,"Un gilet en cuir fantaisie ou une paire de bottes en cuir, un ensemble de vêtements communs et une pochette en cuir avec 15 po","Sur une péniche branlante, vous avez transporté une centaine d'épées longues dans des tonneaux à poisson, sans même vous rendre compte de la présence des laquais inconscients du capitaine du quai. Vous avez pagayé sur un bateau fluvial rempli de vin elfique volé sous le regard de la lune et l'avez vendu deux fois sa valeur au matin. Dans vos moments les plus charitables, vous avez transporté des innocents hors des zones de guerre ou aidé à guider des troupeaux d'animaux vers la sécurité sur les rives d'une rivière en feu."
89,Soldier,Military Rank ,"[' Athletics', 'Intimidation']",Soldat,Grade militaire,"One type of gaming set, vehicles (land)",None,"An insignia of rank, a trophy taken from a fallen enemy (a Dagger, broken blade, or piece of a banner), a set of Bone Dice or Deck of Cards, a set of Common Clothes, and a belt pouch containing 10 gp","
War has been your life for as long as you care to remember. You trained as a youth, studied the use of weapons and armor, learned basic survival techniques, including how to stay alive on the battlefield. You might have been part of a standing national army or a mercenary company, or perhaps a member of a local militia who rose to prominence during a recent war.
When you choose this background, work with your DM to determine which military organization you were a part of, how far through its ranks you progressed, and what kind of experiences you had during your military career. Was it a standing army, a town guard, or a village militia? Or it might have been a noble's or merchant's private army, or a mercenary company.
","Un type d'ensemble de jeu, véhicules (terrestres)",Aucun,"Un insigne de rang, un trophée pris à un ennemi tombé (une dague, une lame brisée ou un morceau de bannière), un jeu de dés en os ou un jeu de cartes, un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","La guerre a toujours été votre vie. Vous avez été entraîné dans votre jeunesse, vous avez étudié l'utilisation des armes et des armures, vous avez appris les techniques de survie de base, notamment comment rester en vie sur le champ de bataille. Vous avez peut-être fait partie d'une armée nationale permanente ou d'une compagnie de mercenaires, ou peut-être d'un membre d'une milice locale qui s'est fait connaître au cours d'une guerre récente.
Lorsque vous choisissez ce contexte, travaillez avec votre MD pour déterminer à quelle organisation militaire vous faisiez partie, jusqu'où vous avez progressé dans ses rangs et quel genre d'expériences vous avez eu au cours de votre carrière militaire. Était-ce une armée permanente, une garde de ville ou une milice de village ? Ou bien il s'agissait peut-être de l'armée privée d'un noble ou d'un marchand, ou d'une compagnie de mercenaires."
90,Soldier Baldur’s Gate,Military Rank ,"[' Athletics', 'Intimidation']",La porte du soldat Baldur,Grade militaire,"One type of gaming set, vehicles (land)",None,"An insignia of rank, a trophy taken from a fallen enemy (a Dagger, broken blade, or piece of a banner), a set of Bone Dice or Deck of Cards, a set of Common Clothes, and a belt pouch containing 10 gp","
Mercenaries, private guards, Watch soldiers, and members of the Flaming Fist number among just a few of the many soldiers on the streets of Baldur's Gate.
","Un type d'ensemble de jeu, véhicules (terrestres)",Aucun,"Un insigne de rang, un trophée pris à un ennemi tombé (une dague, une lame brisée ou un morceau de bannière), un jeu de dés en os ou un jeu de cartes, un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","Les mercenaires, les gardes privés, les soldats de la garde et les membres du Poing enflammé ne sont que quelques-uns des nombreux soldats présents dans les rues de Baldur's Gate."
91,Spy,Criminal Contact ,"[' Deception', 'Stealth']",Espionner,Contact criminel,"One type of gaming set, thieves' tools",None,"A Crowbar, a set of dark common clothes including a hood, and a belt pouch containing 15 gp","
Although your capabilities are not much different from those of a burglar or smuggler, you learned and practiced them in a very different context: as an espionage agent. You might have been an officially sanctioned agent of the crown, or perhaps you sold the secrets you uncovered to the highest bidder.
","Un type d'ensemble de jeu, les outils des voleurs",Aucun,"Un pied de biche, un ensemble de vêtements sombres communs comprenant une capuche et une pochette de ceinture contenant 15 po","Bien que vos capacités ne soient pas très différentes de celles d'un cambrioleur ou d'un contrebandier, vous les avez apprises et pratiquées dans un contexte très différent : celui d'un agent d'espionnage. Vous étiez peut-être un agent officiellement agréé de la Couronne, ou peut-être avez-vous vendu les secrets que vous avez découverts au plus offrant."
92,Spy Augen Trust,Criminal Contact ,"[' Deception', 'Stealth']",Espion Augen Trust,Contact criminel,"One type of gaming set, thieves' tools",None,"A Crowbar, a set of dark common clothes including a hood, and a belt pouch containing 15 gp","
Little is known about the Augen Trust, even within the court of the Dwendalian Empire. Only one person knows all the members of this elite network of imperial spies: its leader, Oliver Schreiber, a noble gnome with the ear of King Dwendal.
If you were favored with membership in the Augen Trust, your entire life was laid bare before the secret spymaster at one point, and you were found to be a loyal servant of the empire with a particular set of skills. Betraying the Trust is high treason against the crown, and defectors are hunted down and quickly slain.
Most defectors from the Augen Trust flee to the Biting North, beyond the reach of the empire. The Clovis Concord would extradite traitors in a heartbeat to maintain diplomatic relations with the empire, and fleeing to Xhorhas is tantamount to suicide in the present political climate.
If you are a member of the Trust going on adventures, you are either a traitor who has somehow managed to keep your true identity secret from the greatest spies in the empire-or you are still on active duty. In the latter case, you can work with your DM to figure out why you are traveling with outside adventurers.
","Un type d'ensemble de jeu, les outils des voleurs",Aucun,"Un pied de biche, un ensemble de vêtements sombres communs comprenant une capuche et une pochette de ceinture contenant 15 po","On sait peu de choses sur le Trust Augen, même au sein de la cour de l'Empire Dwendalien. Une seule personne connaît tous les membres de ce réseau d'élite d'espions impériaux : son chef, Oliver Schreiber, un noble gnome à l'écoute du roi Dwendal. 
Si vous étiez choisi pour devenir membre du Trust Augen, votre vie entière était dévoilée au grand jour devant le maître-espion secret, et on découvrait que vous étiez un serviteur loyal de l'empire doté d'un ensemble de compétences particulières. Trahir le Trust est une haute trahison envers la couronne, et les transfuges sont traqués et rapidement tués. 
La plupart des transfuges du Trust Augen fuient vers le Nord mordant, hors de portée de l'empire. La Concorde Clovis extraderait les traîtres en un clin d'œil pour maintenir des relations diplomatiques avec l'empire, et fuir vers Xhorhas équivaut à un suicide dans le climat politique actuel. 
Si vous êtes un membre de la Confrérie qui part à l'aventure, vous êtes soit un traître qui a réussi d'une manière ou d'une autre à cacher votre véritable identité aux plus grands espions de l'empire, soit vous êtes toujours en service actif. Dans ce dernier cas, vous pouvez travailler avec votre DM pour découvrir pourquoi vous voyagez avec des aventuriers extérieurs."
93,Urban Bounty Hunter,Ear to the Ground ,"[' Stealth', 'Insight', 'Deception', 'Persuasion']",Chasseur de primes urbain,L'oreille au sol,"Choose two from among one type of gaming set, one musical instrument, and thieves' tools",None,A set of clothes appropriate to your duties and a pouch containing 20 gp,"
Before you became an adventurer, your life was already full of conflict and excitement, because you made a living tracking down people for pay. Unlike some people who collect bounties, though, you aren't a savage who follows quarry into or through the wilderness. You're involved in a lucrative trade, in the place where you live, that routinely tests your skills and survival instincts. What's more, you aren't alone, as a bounty hunter in the wild would be: you routinely interact with both the criminal subculture and other bounty hunters, maintaining contacts in both areas to help you succeed.
You might be a cunning thief-catcher, prowling the rooftops to catch one of the myriad burglars of the city. Perhaps you are someone who has your ear to the street, aware of the doings of thieves' guilds and street gangs. You might be a ""velvet mask"" bounty hunter, one who blends in with high society and noble circles in order to catch the criminals that prey on the rich, whether pickpockets or con artists. The community where you plied your trade might have been one of Faenûn's great metropolises, such as Waterdeep or Baldur's Gate, or a less populous location, perhaps Luskan or Yartar – any place that's large enough to have a steady supply of potential quarries.
As a member of an adventuring party, you might find it more difficult to pursue a personal agenda that doesn't fit with the group's objectives – but on the other hand, you can take down much more formidable targets with the help of your companions.
","Choisissez deux parmi un type d'ensemble de jeu, un instrument de musique et des outils de voleur",Aucun,Un ensemble de vêtements adaptés à vos fonctions et une bourse contenant 20 po,"Avant de devenir aventurier, votre vie était déjà pleine de conflits et d'excitation, car vous gagniez votre vie en traquant des gens pour de l'argent. Mais contrairement à certaines personnes qui collectent des primes, vous n'êtes pas un sauvage qui suit des proies dans ou à travers la nature. Vous êtes impliqué dans un commerce lucratif, dans l'endroit où vous vivez, qui teste régulièrement vos compétences et votre instinct de survie. De plus, vous n'êtes pas seul, comme le serait un chasseur de primes dans la nature : vous interagissez régulièrement avec la sous-culture criminelle et d'autres chasseurs de primes, entretenant des contacts dans les deux domaines pour vous aider à réussir. 
Vous êtes peut-être un attrapeur de voleurs rusé, rôdant sur les toits pour attraper l'un des innombrables cambrioleurs de la ville. Peut-être êtes-vous quelqu'un qui a l'oreille tendue vers la rue, conscient des agissements des guildes de voleurs et des gangs de rue. Vous pourriez être un chasseur de primes au « masque de velours », qui se fond dans la haute société et les cercles nobles afin d'attraper les criminels qui s'attaquent aux riches, qu'il s'agisse de pickpockets ou d'escrocs. La communauté où vous exercez votre métier pourrait être l'une des grandes métropoles de Faenûn, comme Waterdeep ou Baldur's Gate, ou un endroit moins peuplé, peut-être Luskan ou Yartar – n'importe quel endroit suffisamment grand pour avoir un approvisionnement régulier de proies potentielles. 
En tant que membre d'un groupe d'aventuriers, vous pourriez trouver plus difficile de poursuivre un programme personnel qui ne correspond pas aux objectifs du groupe – mais d'un autre côté, vous pouvez abattre des cibles beaucoup plus redoutables avec l'aide de vos compagnons."
94,Urchin,City Secrets ,"[' Sleight of Hand', 'Stealth']",Oursin,Les secrets de la ville,"Disguise kit, thieves' tools",None,"A small knife, a map of the city you grew up in, a pet mouse, a token to remember your parents by, a set of Common Clothes, and a belt pouch containing 10 gp","
You grew up on the streets alone, orphaned, and poor, You had no one to watch over you or to provide for you, so you learned to provide for yourself. You fought fiercely over food and kept a constant watch out for other desperate souls who might steal from you. You slept on rooftops and in alleyways, exposed to the elements, and endured sickness without the advantage of medicine or a place to recuperate. You've survived despite all odds, and did so through cunning, strength, speed, or some combination of each.
You begin your adventuring career with enough money to live modestly but securely for at least ten days. How did you come by that money? What allowed you to break free of your desperate circumstances and embark on a better life?
","Kit de déguisement, outils de voleur",Aucun,"Un petit couteau, une carte de la ville dans laquelle vous avez grandi, une souris de compagnie, un jeton pour vous souvenir de vos parents, un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","Vous avez grandi dans la rue, seul, orphelin et pauvre. Personne ne veillait sur vous ou ne subvenait à vos besoins. Vous avez donc appris à subvenir à vos besoins. Vous vous êtes battu avec acharnement pour la nourriture et vous avez constamment fait attention aux âmes désespérées qui pourraient vous voler. Vous avez dormi sur les toits et dans les ruelles, exposé aux éléments, et vous avez enduré la maladie sans l'avantage des médicaments ou d'un endroit pour récupérer. Vous avez survécu malgré tous les obstacles, et vous l'avez fait grâce à la ruse, à la force, à la rapidité ou à une combinaison de ces éléments. 
Vous commencez votre carrière d'aventurier avec suffisamment d'argent pour vivre modestement mais en sécurité pendant au moins dix jours. Comment avez-vous obtenu cet argent ? Qu'est-ce qui vous a permis de vous libérer de votre situation désespérée et de vous lancer dans une vie meilleure ?"
95,Urchin Baldur’s Gate,City Secrets ,"[' Sleight of Hand', 'Stealth']",La porte de l'oursin Baldur,Les secrets de la ville,"Disguise kit, thieves' tools",None,"A small knife, a map of the city you grew up in, a pet mouse, a token to remember your parents by, a set of Common Clothes, and a belt pouch containing 10 gp","
Bands of orphans and runaways band together in the Outer City, running after passersby in ragged throngs to plead for scraps. In the Lower City, urchins are often recruited into the lowest echelons of the Guild or pressed into dirty and dangerous work by unscrupulous masters.
","Kit de déguisement, outils de voleur",Aucun,"Un petit couteau, une carte de la ville dans laquelle vous avez grandi, une souris de compagnie, un jeton pour vous souvenir de vos parents, un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","Des bandes d'orphelins et de fugueurs se rassemblent dans la Cité Extérieure, courant après les passants en foules dépenaillées pour réclamer des miettes. Dans la Ville Basse, les gamins sont souvent recrutés dans les échelons les plus bas de la Guilde ou contraints d'effectuer des travaux sales et dangereux par des maîtres sans scrupules."
96,Uthgardt Tribe Member,Uthgardt Heritage ,"[' Athletics', 'Survival']",Membre de la tribu Uthgardt,Patrimoine d'Uthgardt,One type of musical instrument or artisan's tools,One of your choice,"A Hunting Trap, a totemic token or set of tattoos marking your loyalty to Uthgar and your tribal totem, a set of Traveler's Clothes, and a pouch containing 10 gp","
Though you might have only recently arrived in civilized lands, you are no stranger to the values of cooperation and group effort when striving for supremacy. You learned these principles, and much more, as a member of an Uthgardt tribe.
Your people have always tried to hold to the old ways. Tradition and taboo have kept the Uthgardt strong while the kingdoms of others have collapsed into chaos and ruin. But for the last few generations, some bands among the tribes were tempted to settle, make peace, trade, and even to build towns. Perhaps this is why Uthgar chose to raise up the totems among the people as living embodiments of his power. Perhaps they needed a reminder of who they were and from whence they came. The Chosen of Uthgar led bands back to the old ways, and most of your people abandoned the soft ways of civilization.
You might have grown up in one of the tribes that had decided to settle down, and now that they have abandoned that path, you find yourself adrift. Or you might come from a segment of the Uthgardt that adheres to tradition, but you seek to bring glory to your tribe by achieving great things as a formidable adventurer.
See the ""Uthgardt Tribes and Their Territories"" section below for details on each tribe's territory and its activities that will help you choose your affiliation.
",Un type d'instrument de musique ou d'outils d'artisan,Un de vos choix,"Un piège de chasse, un jeton totémique ou un ensemble de tatouages ​​​​marquant votre loyauté envers Uthgar et votre totem tribal, un ensemble de vêtements de voyageur et une bourse contenant 10 po","Même si vous n'êtes arrivé que récemment dans des terres civilisées, vous connaissez les valeurs de coopération et d'effort collectif dans la lutte pour la suprématie. Vous avez appris ces principes, et bien plus encore, en tant que membre d'une tribu Uthgardt. 
Votre peuple a toujours essayé de s'en tenir aux anciennes coutumes. La tradition et les tabous ont permis aux Uthgardt de rester forts alors que les royaumes des autres se sont effondrés dans le chaos et la ruine. Mais depuis quelques générations, certains groupes parmi les tribus ont été tentés de s'installer, de faire la paix, de commercer et même de construire des villes. C'est peut-être pour cela qu'Uthgar a choisi d'élever les totems parmi le peuple comme incarnations vivantes de son pouvoir. Peut-être avaient-ils besoin qu'on leur rappelle qui ils étaient et d'où ils venaient. Les Élus d'Uthgar ont ramené les groupes aux anciennes coutumes, et la plupart de votre peuple a abandonné les voies douces de la civilisation. 
Vous avez peut-être grandi dans l'une des tribus qui avaient décidé de se sédentariser, et maintenant qu'elles ont abandonné ce chemin, vous vous retrouvez à la dérive. Ou bien vous venez peut-être d'un segment des Uthgardt qui adhère à la tradition, mais vous cherchez à apporter la gloire à votre tribu en accomplissant de grandes choses en tant qu'aventurier redoutable.
Consultez la section « Tribus Uthgardt et leurs territoires » ci-dessous pour plus de détails sur le territoire de chaque tribu et ses activités qui vous aideront à choisir votre affiliation."
97,Volstrucker Agent,Shadow Network ,"[' Deception', 'Stealth']",Agent Volstrucker,Réseau de l'ombre,Poisoner's kit,One of your choice,"A set of Common Clothes, a black cloak with a hood, a Poisoner's Kit, and a pouch containing 10 gp","
The Volstrucker are a clandestine organization of arcane assassins and enforcers in the service of the Cerberus Assembly. Their operatives bear no official title, but are referred to in hushed tones as ""scourgers"" by residents of large Dwendalian cities such as Zadash and Rexxentrum.
You are a Volstrucker agent. Your duty is to silence dissidents who would undermine the will of King Dwendal-and more importantly, the will of the Assembly.
",Kit d'empoisonneur,Un de vos choix,"Un ensemble de vêtements communs, une cape noire avec une capuche, un kit d'empoisonneur et une bourse contenant 10 po","Les Volstruckers sont une organisation clandestine d'assassins et d'hommes de main au service de l'Assemblée Cerberus. Leurs agents ne portent pas de titre officiel, mais sont appelés à voix basse « fléaux » par les habitants des grandes villes dwendaliennes telles que Zadash et Rexxentrum. 
Vous êtes un agent des Volstruckers. Votre devoir est de faire taire les dissidents qui voudraient saper la volonté du roi Dwendal et, plus important encore, la volonté de l'Assemblée."
